Category,SubCategory,Title,Description,Lat,Lng,Icon,BusStop,BusNumber,BusTiming
Bekvämligheter,Charging Station,E.ON Charging Station,Electric vehicle charging station,57.1235405,12.2601491,bubble_charger,Varberg Göingegården,2,1:11 PM | 1:31 PM | 1:41 PM| 2:01 PM | 2:11 PM
Bekvämligheter,Charging Station,Varbergs Bostad Charging Station,Electric vehicle charging station,57.09873,12.24918,bubble_charger,Varberg Krabbes väg,3,1:11 PM | 1:31 PM | 1:41 PM| 2:01 PM | 2:11 PM
Mat & Dryck,Restaurang,&Olles,"In a sheltered gazebo furthest south in Apelviken you will find the &Olles restaurant. Everything from prawn sandwiches with rosé to redcurrants and mojitos is served here in a pleasant and relaxed environment. Sit down on the outdoor terrace and sift sand between your toes on the ""beach"" or choose a wind-protected place under cover on the glass-enclosed veranda.",57.077384,12.26327,bubble_restaurant,Tångkörarvägen 10,4,11:10 AM
Mat & Dryck,Restaurang,Bastard Burgers,With inspiration from New York and roots in Norrland Bastard Burgers delivers both hamburgers and vegan options. Street food chain with restaurants from Boden in the north to Malmö in the south. Table booking is not possible - drop-in only. Take-away is available!,57.104873,12.254557,bubble_restaurant,Varberg Lorensberg,2,1:16 PM | 1:27 PM | 1:32 PM | 1:42 PM | 1:46 PM | 1:57 PM | 2:02 PM | 2:12 PM | 2:16 PM
Mat & Dryck,Bar & Nattklubb,Bar Sora,The rooftop bar Sora is located in the heart of Varberg at the top of Varbergs Stadshotell and as close to the sky as you can get. Take the elevator up to the eighth floor and toast the evening with good friends. Summery cocktails and good small dishes - all served with the world's most beautiful view.,57.1052648,12.2498293,bubble_restaurant,Varberg Brunnsparken,6,2:17 PM
Mat & Dryck,Café,Bryggan 30 Butik & Café,Café where almost everything served is home-baked and the coffee is fair trade. The venue is easily accessible and offers a homely environment. At Bryggan 30 coffee lunch and Halland ice cream are served.  Bryggan 30 shop and café is part of Varberg parish's diaconal work.,57.1065971,12.2529507,bubble_restaurant,Varberg Komedianten,7,3:05 PM
Mat & Dryck,Foodtrucks,Fiket i Viken,Food gtruck,57.0808072,12.2567074,bubble_restaurant,Tångkörarvägen 2-4,8,10:40 AM
Mat & Dryck,Foodtrucks,Senor Habanero,In the heart of Tvååker there is a Mexican oasis from a food truck with a built-up outdoor environment with a high coziness factor. Here glowing flavors from the Mexican cuisine are served with varying heat where passion creativity and humor are clearly evident in the food creations. Their specialty is chili sauce and in the assortment there are all sorts of varieties to test the taste buds with. Viva el chili guerilla!,57.1063252,12.2454387,bubble_restaurant,Varberg Lorensberg,9,5:02 PM
Kultur & Historia,Museum,Halland Museum of Cultural History,"At Varberg's fortress with an entrance from Borggården you will find Halland's cultural history museum. In premises where history can be both felt and seen exhibitions are shown that appeal to different ages and interests. The main attraction is the Bockstensmannen northern Europe's most spectacular medieval find. See the skeleton the intact suit and the oak stake. Hear about the find the theories and the legends. The exhibition ""Halland through the ages"" takes the visitor on a journey through time that begins shortly after the ice cap has melted and ends in our own time. Here you meet among other things golden old men emigrants from Halland a lemur and today's Gekås shoppers.  Temporary exhibitions are shown throughout the year.  In summer popular tours and dramatized walks are offered.  Enjoy a coffee in the museum's café.",57.1093502,12.2116325,bubble_historical_site,Slottsgatan,10,2:10 PM
Kultur & Historia,Museum,The Marine Museum in Trönningenäs,The world's largest collection of among other things porcelain and silver from Swedish American Line can be found at the Marine Museum in Trönningenäs. Here is also Europe's largest collection of outboard motors - around 250 pieces from the year 1897 until the 1970s. There is also a large collection of curiosities toys and and an extensive book collection about all the world's ships from 1914-2000. The Marine Museum in Trönningenärs opens on request. Call and book your visit.,57.1491602,12.2209329,bubble_historical_site,Uddarnas väg 12,11,5:20 PM
