,vehicle_id,vehicle_eclass,vehicle_fuel,laneID,vehicle_type,vehicle_x,vehicle_y,edgeID,lon,lat,cluster_label
0,commercial_1-1_226,hbefa3/ldv,1.12,152558_6_1,delivery,7255.86,4505.8,152558_6,7.451358150957602,43.75954864684783,1
1,commercial_1-1_404,hbefa3/coach,3.25,152558_6_1,coach,7250.18,4501.13,152558_6,7.451358150957602,43.75954864684783,1
2,commercial_1-1_480,hbefa3/ldv,0.83,152558_6_2,delivery,7257.04,4502.78,152558_6,7.451330416269894,43.75956915965043,1
3,commercial_1-1_536,hbefa3/ldv,1.12,152558_5_1,delivery,7172.17,4426.86,152558_5,7.4494068217116,43.75797561169512,1
4,commercial_1-1_558,hbefa3/ldv,1.12,153359_0_1,delivery,7324.51,4512.64,153359_0,7.452651697792274,43.76026738183603,1
5,commercial_1-1_89,hbefa3/hdv,6.0,152558_6_1,truck,7242.25,4492.72,152558_6,7.451358150957602,43.75954864684783,1
6,commercial_1-2_153,hbefa3/ldv,1.12,152558_5_2,delivery,7182.87,4432.56,152558_5,7.449376164935055,43.75799383344071,1
7,commercial_1-3_296,hbefa3/ldv,0.86,152558_6_1,delivery,7256.06,4505.48,152558_6,7.451358150957602,43.75954864684783,1
8,commercial_1-gw1_197,hbefa3/ldv,1.12,153354_0_1,delivery,7720.4,4661.21,153354_0,7.457521732201461,43.761405479979,1
9,commercial_1-gw2_198,hbefa3/hdv,6.0,153485_3_1,trailer,7062.3,4826.36,153485_3,7.450809820842694,43.76471314169925,1
10,commercial_1-gw2_266,hbefa3/coach,6.23,153360_0_1,coach,7468.99,5206.17,153360_0,7.455240788140039,43.765955768975736,1
11,commercial_2-1_163,hbefa3/ldv,0.86,153012_1_2,delivery,8585.11,4305.99,153012_1,7.469405337324932,43.75858332395062,1
12,commercial_2-1_188,hbefa3/ldv,1.12,153359_1_1,delivery,7669.11,4626.96,153359_1,7.454546566149951,43.76178134336546,1
